geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
106,High Bridge - Morrisania,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,5.468103,2005,,
204,Highbridge and Concourse (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,87.25819,2005,,
204,Highbridge and Concourse (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,5.959628,2005,,
204,Highbridge and Concourse (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,93.919109,2005,,
408,Hillcrest and Fresh Meadows (CD8),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,62.983868,2005,,
408,Hillcrest and Fresh Meadows (CD8),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.460694,2005,,
408,Hillcrest and Fresh Meadows (CD8),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,60.040127,2005,,
107,Hunts Point - Mott Haven,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,42.666014,2005,,
107,Hunts Point - Mott Haven,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.8,2005,,
107,Hunts Point - Mott Haven,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.86083,2005,,
107,Hunts Point - Mott Haven,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,39.404311,2005,,
107,Hunts Point - Mott Haven,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.5,2005,,
202,Hunts Point and Longwood (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,34.881829,2005,,
202,Hunts Point and Longwood (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,37.935172,2005,,
